,retailer,category,currency,brand,model,name,size,price,image
0,Bing_Lee,Televisions,AUD,TCL,65P615,"TCL - 65P615 - 65"" UHD 4K Android TV ","TCL - 65P615 - 65"" UHD 4K Android TV ",995.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/t/c/tcl-p615-hero.jpg
1,Bing_Lee,Televisions,AUD,TCL,75C815,TCL - 75C815 - 75” QLED Android TV,TCL - 75C815 - 75” QLED Android TV,2995.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/7/5/75c815_01_med.jpg
2,Bing_Lee,Televisions,AUD,Hisense,40S4,"Hisense - 40S4 - 40"" Series 4 FHD Smart TV","Hisense - 40S4 - 40"" Series 4 FHD Smart TV",495.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/3/2/32s4-hero_2.jpg
3,Bing_Lee,Televisions,AUD,Hisense,49S4,"Hisense - 49S4 - 49"" Series 4 FHD Smart TV","Hisense - 49S4 - 49"" Series 4 FHD Smart TV",595.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/3/2/32s4-hero_1.jpg
4,Bing_Lee,Televisions,AUD,TCL,40S615,TCL - 40S615 - 40” Full HD Android TV  ,TCL - 40S615 - 40” Full HD Android TV  ,495.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/t/c/tcl-s615-hero.jpg
5,Bing_Lee,Televisions,AUD,Hisense,32S4,"Hisense - 32S4 - 32"" Series 4 HD Smart TV","Hisense - 32S4 - 32"" Series 4 HD Smart TV",375.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/3/2/32s4-hero.jpg
6,Bing_Lee,Televisions,AUD,Samsung,UA75TU8000,"Samsung UA75TU8000WXXY 75"" Crystal UHD 4K Smart TV   ","Samsung UA75TU8000WXXY 75"" Crystal UHD 4K Smart TV   ",2295.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-ua50tu8000-hero1_4.jpg
7,Bing_Lee,Televisions,AUD,CHiQ,U55H10,"CHiQ - U55H10 - 55"" 4K UHD Android TV ","CHiQ - U55H10 - 55"" 4K UHD Android TV ",695.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/c/h/chiq-u55h10-hero.jpg
8,Bing_Lee,Televisions,AUD,LG,55UN7300PTC,"LG 55UN7300PTC 55"" Smart 4K UHD TV - ThinQ™ AI ","LG 55UN7300PTC 55"" Smart 4K UHD TV - ThinQ™ AI ",995.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/5/0/50un7300ptc_1.jpg
9,Bing_Lee,Televisions,AUD,Samsung,UA55TU8000,"Samsung UA55TU8000 55"" Crystal UHD 4K Smart TV ","Samsung UA55TU8000 55"" Crystal UHD 4K Smart TV ",1195.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-ua50tu8000-hero1_2.jpg
10,Bing_Lee,Televisions,AUD,Blaupunkt,BP650USG9200,"Blaupunkt - 65"" 4K UHD Android TV - BP650USG9200","Blaupunkt - 65"" 4K UHD Android TV - BP650USG9200",895.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/b/p/bp650usg9200_01_med.jpg
11,Bing_Lee,Televisions,AUD,Blaupunkt,BP550USG9200,"Blaupunkt - 55"" 4K UHD Android TV - BP550USG9200","Blaupunkt - 55"" 4K UHD Android TV - BP550USG9200",595.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/b/p/bp550usg9200_01_med.jpg
12,Bing_Lee,Televisions,AUD,Blaupunkt,BP420FSG9200,"Blaupunkt - 42"" FHD Android TV - BP420FSG9200","Blaupunkt - 42"" FHD Android TV - BP420FSG9200",395.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/b/p/bp420fsg9200_01_med.jpg
13,Bing_Lee,Televisions,AUD,Blaupunkt,BP320HSG9200,"Blaupunkt - 32"" HD Android TV - BP320HSG9200","Blaupunkt - 32"" HD Android TV - BP320HSG9200",295.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/b/p/bp320hsg9200_01_med.jpg
14,Bing_Lee,Televisions,AUD,CHiQ,L32K5,"CHiQ - L32K5 - 32"" HD Android TV ","CHiQ - L32K5 - 32"" HD Android TV ",295.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/3/l32k5_01_med.jpg
15,Bing_Lee,Televisions,AUD,Samsung,UA43TU8000,"Samsung UA43TU8000WXXY - 43"" Crystal UHD 4K Smart TV","Samsung UA43TU8000WXXY - 43"" Crystal UHD 4K Smart TV",895.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-ua50tu8000-hero1_5.jpg
16,Bing_Lee,Televisions,AUD,Samsung,QA65Q60TA,"Samsung QA65Q60TAWXXY 65"" Q60T QLED 4K UHD HDR Smart TV   ","Samsung QA65Q60TAWXXY 65"" Q60T QLED 4K UHD HDR Smart TV   ",1895.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q60t-qled-feature1.jpg
17,Bing_Lee,Televisions,AUD,Samsung,UA50TU8000,"Samsung UA50TU8000WXXY 50"" Crystal UHD 4K Smart TV ","Samsung UA50TU8000WXXY 50"" Crystal UHD 4K Smart TV ",995.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-ua50tu8000-hero1.jpg
18,Bing_Lee,Televisions,AUD,LG,65UN7300PTC,"LG 65UN7300PTC - 65"" Smart 4K UHD TV - ThinQ™ AI   ","LG 65UN7300PTC - 65"" Smart 4K UHD TV - ThinQ™ AI   ",1495.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/g/lg-un73-hero_1.jpg
19,Bing_Lee,Televisions,AUD,TCL,32S615,"TCL - 32S615 - 32"" HD Android TV","TCL - 32S615 - 32"" HD Android TV",395.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/t/c/tcl-s615-hero_1.jpg
20,Bing_Lee,Televisions,AUD,Samsung,UA65TU8000,"Samsung UA65TU8000WXXY 65"" Crystal UHD 4K Smart TV  ","Samsung UA65TU8000WXXY 65"" Crystal UHD 4K Smart TV  ",1495.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-ua50tu8000-hero1_3.jpg
21,Bing_Lee,Televisions,AUD,LG,43UN7300PTC,"LG 43UN7300PTC 43"" Smart 4K UHD TV - ThinQ™ AI ","LG 43UN7300PTC 43"" Smart 4K UHD TV - ThinQ™ AI ",845.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/g/lg-un73-hero.jpg
22,Bing_Lee,Televisions,AUD,Hisense,65S8,"Hisense - 65S8 - 65"" Series 8 UHD Smart TV","Hisense - 65S8 - 65"" Series 8 UHD Smart TV",1395.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/8/s8-hero_2.jpg
23,Bing_Lee,Televisions,AUD,Samsung,UA32N5300A,"Samsung - UA32N5300AWXXY - 32"" FHD Smart LED TV ","Samsung - UA32N5300AWXXY - 32"" FHD Smart LED TV ",549.0000,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/u/a/ua32n5300awxxy_01_med.jpg
