model,retailer,price
65P615,1,995.0
75C815,1,2995.0
40S4,1,495.0
49S4,1,595.0
40S615,1,495.0
32S4,1,375.0
UA75TU8000,1,2295.0
U55H10,1,695.0
55UN7300PTC,1,995.0
UA55TU8000,1,1195.0
BP650USG9200,1,895.0
BP550USG9200,1,595.0
BP420FSG9200,1,395.0
BP320HSG9200,1,295.0
L32K5,1,295.0
UA43TU8000,1,895.0
QA65Q60TA,1,1895.0
UA50TU8000,1,995.0
65UN7300PTC,1,1495.0
32S615,1,395.0
UA65TU8000,1,1495.0
43UN7300PTC,1,845.0
65S8,1,1395.0
UA32N5300A,1,549.0
50UN7300PTC,1,895.0
U58H10,1,795.0
QA55Q60TA,1,1495.0
L24H4,1,199.0
QA65Q70TA,1,2295.0
L40K5,1,395.0
55S8,1,995.0
KD55X8000H,1,1295.0
75UN8100PTB,1,1995.0
U43H10,1,495.0
U65H10,1,995.0
50S8,1,795.0
KD49X8000H,1,1095.0
QA75Q60TA,1,2895.0
75S8,1,1895.0
50P715,1,795.0
KDL32W660E,1,595.0
43S8,1,695.0
OLED55BXPTA,1,2495.0
L24K3,1,245.0
OLED65CXPTA,1,4295.0
QA75Q70TA,1,3495.0
L32K3,1,295.0
UA82TU8000,1,3495.0
65NANO86TNA,1,2295.0
65NANO91TNA,1,2695.0
QA65Q80TA,1,2995.0
65C715,1,1595.0
KD65X8000H,1,1695.0
QA85Q70TA,1,5495.0
43P715,1,695.0
QA55Q80TA,1,2195.0
KD43X8000H,1,1095.0
QA55Q70TA,1,1795.0
86UN8100PTB,1,3995.0
85S8,1,3195.0
QA85Q80TA,1,6495.0
55C715,1,1195.0
65P715,1,1295.0
QA43LS03TA,1,1395.0
QA65LS03TA,1,2695.0
QA65Q800TA,1,4795.0
KD75X8000H,1,2495.0
50C715,1,795.0
QA75Q80TA,1,4495.0
QA55LS03TA,1,1995.0
75P715,1,1795.0
KD85X8000H,1,3695.0
QA82Q800TA,1,8995.0
65NANO95TNA,1,3995.0
75NANO91TNA,1,4195.0
86NANO91TNA,1,6195.0
OLED77CXPTA,1,7995.0
QA75Q95TA,1,5995.0
QA65Q950TS,1,5995.0
QA75Q950TS,1,7995.0
QA75Q800TA,1,6795.0
KD55A8G,1,2795.0
KD85X8500G,1,3495.0
KD75X9500H,1,3995.0
KD65X9500H,1,2995.0
KD55X9500H,1,2195.0
55P715,1,995.0
75NANO95TNA,1,5495.0
QA85Q950TS,1,12995.0
U50H10,1,595.0
KD65A8G,1,4495.0
58S5,1,795.0
KD55X8500G,1,1295.0
KD75X8500G,1,2695.0
QA65Q95TA,1,3995.0
QA55Q95TA,1,2995.0
QA82Q75RA,1,4495.0
75R6,1,1395.0
55R7,1,895.0
55R6,1,695.0
QA65Q900RB,1,3995.0
UA65RU7100,1,1295.0
UA55RU8000,1,1095.0
UA55RU7100,1,895.0
QA82Q900RB,1,12995.0
QA82Q60RA,1,3995.0
QA75Q900RB,1,5995.0
QA75Q60RA,1,2395.0
QA65Q80RA,1,2995.0
QA75Q6FNA,1,3999.0
QA55Q6FNA,1,1295.0
QA65Q6FNA,1,1395.0
TH65FZ1000U,1,2395.0
TH65FX800A,1,1995.0
50P6US,1,699.0
QA75Q9FNA,1,3400.0
QA75Q7FNA,1,2600.0
QA65Q9FNA,1,2495.0
75C4US,1,1995.0
UA65NU8000,1,1398.0
TH65EX600A,1,695.0
UA65KS9500,1,2199.0
UA55KS8500,1,1199.0
TH65DX900U,1,4999.0
55UH770T,1,2249.0
UD42C5600I,1,698.0
QA98Q900RB,1,99999.0
TH65GX740A,1,1295.0
65R5,1,995.0
KDL32W660E,2, 595.00
40D3000F,2, 445.00
32HDSM8,2, 299.00
65UHDSM8,2, 999.00
55UHDSM8,2, 695.00
50UHDSM8,2, 699.00
40FHDSM8,2, 399.00
55PUT6103/79,2, 699.00
50PUT6103/79,2, 599.00
H100LDA,2, 9995.00
LS58UHDSM20,2, 599.00
24F1,2, 169.00
40F1,2, 298.00
50UF1,2, 599.00
LS32CHD,2, 279.00
LS40CFHD,2, 369.00
KD55A8G,2, 2795.00
KD65A8G,2, 4495.00
KD77A9G,2, 8495.00
75P715,2, 1795.00
55P715,2, 995.00
75X915,2, 5995.00
75C815,2, 2995.00
65P715,2, 1195.00
50P715,2, 795.00
QA43LS05TAWXXY,2, 1995.00
43P715,2, 695.00
75X10,2, 6495.00
65X10,2, 4495.00
65X915,2, 4295.00
55UF1,2, 699.00
65UF1,2, 899.00
GTV-3200,2, 699.00
UA43TU8000WXXY,2, 895.00
UA50TU8000WXXY,2, 995.00
UA55TU8000WXXY,2, 1195.00
UA75TU8000WXXY,2, 2295.00
UA82TU8000WXXY,2, 3495.00
QA55Q60TAWXXY,2, 1495.00
QA65Q60TAWXXY,2, 1895.00
QA75Q60TAWXXY,2, 2895.00
QA55Q70TAWXXY,2, 1795.00
QA65Q70TAWXXY,2, 2295.00
QA75Q70TAWXXY,2, 3495.00
QA85Q70TAWXXY,2, 5495.00
QA55Q80TAWXXY,2, 2195.00
QA65Q80TAWXXY,2, 2995.00
QA75Q80TAWXXY,2, 4495.00
32SF1,2, 249.00
40SF1,2, 349.00
QA85Q80TAWXXY,2, 6495.00
QA65Q95TAWXXY,2, 3995.00
QA75Q95TAWXXY,2, 5995.00
55UN7300PTC,2, 1195.00
50UN7300PTC,2, 995.00
43UN7300PTC,2, 895.00
KD49X8000H,2, 1295.00
KD55X8000H,2, 1495.00
KD65X8000H,2, 1695.00
KD75X8000H,2, 2495.00
KD85X8000H,2, 3995.00
QA65Q800TAWXXY,2, 4495.00
QA75Q800TAWXXY,2, 5995.00
QA82Q800TAWXXY,2, 7995.00
OLED65CXPTA,2, 4295.00
OLED55CXPTA,2, 3095.00
86NANO91TNA,2, 6195.00
65NANO86TNA,2, 2295.00
55NANO86TNA,2, 1795.00
86UN8100PTB,2, 3995.00
